10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 34 20 10 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/4U4y7vmycT/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/4U4y7vmycT/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 50 30 21 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/4VL5KgRO0j/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/4VL5KgRO0j/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 19 87 65 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/DG4noZddTe/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/DG4noZddTe/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 12 10 2 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/DRx0rOGWiN/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/DRx0rOGWiN/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 34 20 10 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/8AMfaiHZn8/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/8AMfaiHZn8/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 20 13 3 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/siRoUk4d5I/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/siRoUk4d5I/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 20 13 3 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/RghtZOO1H4/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/RghtZOO1H4/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 12 10 2 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/UupkD7DY0H/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/UupkD7DY0H/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 19 87 65 | python3 /main.py  File \"/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
10/10/2021 Sunday 11:59:38 | INFO | problem-compile.log | return /submit-bank-problem. | DATA: "Command failed: echo 50 30 21 | python3 /home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/IAR1qOGaS5/main.py  File \"/home/plass/WEB_PROJECT/WEBIDE_IDE/WebIDE_PROBLEMS/v7/WebIDE_QuestionBank_v2/problem-score-server/server/DEBUG_TEMP_PATH_BANK_PROBLEMS/2/112/250/IAR1qOGaS5/main.py\", line 1    pyto('pr')pyto('pr');pyto('pr');pyto('pr');pyto('pr');pyto('pr');;                 ^SyntaxError: invalid syntax" | LOG_DATA: {"userId":"2","data":{"testId":"112","userId":"2"}} | 
